id,gender,bdate,educ,jobcat,salary,salbegin,jobtime,prevexp,minority
1,m,3-Feb-1952,15,3,"$57,000","$27,000",98,144,0
2,m,23-May-1958,16,1,"$40,200","$18,750",98,36,0
3,f,26-Jul-1929,12,1,"$21,450","$12,000",98,381,0
4,f,15-Apr-1947,8,1,"$21,900","$13,200",98,190,0
5,m,9-Feb-1955,15,1,"$45,000","$21,000",98,138,0
6,m,22-Aug-1958,15,1,"$32,100","$13,500",98,67,0
7,m,26-Apr-1956,15,1,"$36,000","$18,750",98,114,0
8,f,6-May-1966,12,1,"$21,900","$9,750",98,0,0
9,f,23-Jan-1946,15,1,"$27,900","$12,750",98,115,0
10,f,13-Feb-1946,12,1,"$24,000","$13,500",98,244,0
11,f,7-Feb-1950,16,1,"$30,300","$16,500",98,143,0
12,m,11-Jan-1966,8,1,"$28,350","$12,000",98,26,1
13,m,17-Jul-1960,15,1,"$27,750","$14,250",98,34,1
14,f,26-Feb-1949,15,1,"$35,100","$16,800",98,137,1
15,m,29-Aug-1962,12,1,"$27,300","$13,500",97,66,0
16,m,17-Nov-1964,12,1,"$40,800","$15,000",97,24,0
17,m,18-Jul-1962,15,1,"$46,000","$14,250",97,48,0
18,m,20-Mar-1956,16,3,"$103,750","$27,510",97,70,0
19,m,19-Aug-1962,12,1,"$42,300","$14,250",97,103,0
20,f,23-Jan-1940,12,1,"$26,250","$11,550",97,48,0
21,f,19-Feb-1963,16,1,"$38,850","$15,000",97,17,0
22,m,24-Sep-1940,12,1,"$21,750","$12,750",97,315,1
23,f,15-Mar-1965,15,1,"$24,000","$11,100",97,75,1
24,f,27-Mar-1933,12,1,"$16,950","$9,000",97,124,1
25,f,1-Jul-1942,15,1,"$21,150","$9,000",97,171,1
26,m,8-Nov-1966,15,1,"$31,050","$12,600",96,14,0
27,m,19-Mar-1954,19,3,"$60,375","$27,480",96,96,0
28,m,11-Apr-1963,15,1,"$32,550","$14,250",96,43,0
29,m,28-Jan-1944,19,3,"$135,000","$79,980",96,199,0
30,m,17-Sep-1961,15,1,"$31,200","$14,250",96,54,0
31,m,24-Feb-1964,12,1,"$36,150","$14,250",96,83,0
32,m,28-Jan-1954,19,3,"$110,625","$45,000",96,120,0
33,m,18-Mar-1961,15,1,"$42,000","$15,000",96,68,0
34,m,2-Feb-1949,19,3,"$92,000","$39,990",96,175,0
35,m,22-Aug-1961,17,3,"$81,250","$30,000",96,18,0
36,f,7-Aug-1963,8,1,"$31,350","$11,250",96,52,0
37,m,9-Oct-1954,12,1,"$29,100","$13,500",96,113,1
38,m,27-Apr-1962,15,1,"$31,350","$15,000",96,49,1
39,m,22-Jun-1960,16,1,"$36,000","$15,000",96,46,1
40,f,28-Aug-1933,15,1,"$19,200","$9,000",96,23,1
41,f,18-Mar-1961,12,1,"$23,550","$11,550",96,52,1
42,m,23-Sep-1960,15,1,"$35,100","$16,500",95,90,0
43,m,18-Jan-1964,12,1,"$23,250","$14,250",95,46,0
44,m,15-Jun-1963,8,1,"$29,250","$14,250",95,50,0
45,m,2-Aug-1938,12,2,"$30,750","$13,500",95,307,0
46,f,18-Nov-1940,15,1,"$22,350","$12,750",95,165,0
47,f,28-Apr-1938,12,1,"$30,000","$16,500",95,228,0
48,m,7-Jun-1947,12,2,"$30,750","$14,100",94,240,0
49,m,16-Sep-1958,15,1,"$34,800","$16,500",94,93,0
50,m,9-Feb-1960,16,3,"$60,000","$23,730",94,59,0
51,m,8-Jul-1962,12,1,"$35,550","$15,000",94,48,0
52,m,12-Nov-1963,15,1,"$45,150","$15,000",94,40,0
53,m,21-Apr-1954,18,3,"$73,750","$26,250",94,56,0
54,m,4-Jun-1931,12,1,"$25,050","$13,500",94,444,0
55,m,25-Jun-1960,12,1,"$27,000","$15,000",94,120,0
56,m,16-Apr-1962,15,1,"$26,850","$13,500",94,5,0
57,m,15-Apr-1963,15,1,"$33,900","$15,750",94,78,0
58,f,14-Nov-1964,15,1,"$26,400","$13,500",94,3,0
59,m,7-May-1961,15,1,"$28,050","$14,250",94,36,1
60,m,16-Feb-1959,12,1,"$30,900","$15,000",94,102,1
61,m,28-Apr-1964,8,1,"$22,500","$9,750",94,36,1
62,m,18-Jul-1962,16,3,"$48,000","$21,750",93,22,0
63,m,20-Aug-1961,17,3,"$55,000","$26,250",93,32,0
64,m,28-Sep-1963,16,3,"$53,125","$21,000",93,48,0
65,m,28-Mar-1964,8,1,"$21,900","$14,550",93,41,0
66,m,16-Feb-1962,19,3,"$78,125","$30,000",93,7,0
67,m,28-May-1964,16,3,"$46,000","$21,240",93,35,0
68,m,5-May-1963,16,3,"$45,250","$21,480",93,36,0
69,m,23-Jun-1960,16,3,"$56,550","$25,000",93,34,0
70,m,8-Feb-1962,15,1,"$41,100","$20,250",93,27,0
71,m,26-Aug-1948,17,3,"$82,500","$34,980",93,207,0
72,f,7-Jan-1964,16,1,"$54,000","$18,000",93,11,0
73,f,9-Feb-1968,12,1,"$26,400","$10,500",93,0,0
74,f,28-Apr-1933,15,1,"$33,900","$19,500",93,192,0
75,f,12-Aug-1965,15,1,"$24,150","$11,550",93,0,0
76,f,3-Sep-1967,15,1,"$29,250","$11,550",93,11,0
77,f,9-Sep-1968,12,1,"$27,600","$11,400",93,6,0
78,f,20-Aug-1968,12,1,"$22,950","$10,500",93,10,0
79,f,23-Jan-1962,16,1,"$34,800","$14,550",93,8,0
80,f,25-May-1961,16,1,"$51,000","$18,000",93,22,0
81,f,12-Mar-1968,12,1,"$24,300","$10,950",93,5,0
82,f,28-Aug-1947,12,1,"$24,750","$14,250",93,193,1
83,f,12-Oct-1967,12,1,"$22,950","$11,250",93,0,1
84,f,12-Mar-1967,8,1,"$25,050","$10,950",93,8,1
85,m,9-Apr-1962,15,1,"$25,950","$17,100",92,42,0
86,m,25-Aug-1961,15,1,"$31,650","$15,750",92,64,0
87,m,20-Oct-1959,12,1,"$24,150","$14,100",92,130,0
